distribution_center_id,distribution_center_name,warehouse_type,region,city,country,manager_id,product_id,storage_type,inventory_units,storage_capacity_units,occupied_capacity_units,utilization_pct,inbound_shipments,outbound_shipments,orders_processed,avg_processing_time_hours,dock_doors,employees,operating_shift,status,record_date,on_time_dispatch_pct,damaged_units,stockout_flag,last_inventory_audit_date
DC0023,Distribution Center 23,Cross-Dock Center,East,Kolkata,India,MGR0048,P00016,Ambient,1535,48854,31056,63.57,37,22,79,10.86,14,100,Morning,Active,2025-02-12,81.31,27,No,2025-01-15
DC0030,Distribution Center 30,Fulfillment Center,Central,Nagpur,India,MGR0014,P00230,Hazardous,14850,61338,45264,73.79,4,81,173,21.65,45,74,Night,Maintenance,2025-02-12,85.72,11,No,2025-01-17
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0064,P00112,Ambient,19939,57466,27327,47.55,11,52,266,17.27,37,387,Night,Active,2025-02-13,85.73,36,No,2025-01-30
DC0005,Distribution Center 05,Regional DC,Central,Bhopal,India,MGR0067,P00027,Ambient,688,26157,16267,62.19,34,41,325,5.34,25,280,Evening,Active,2025-02-13,75.52,4,No,2025-02-09
DC0009,Distribution Center 09,Regional DC,West,Pune,India,MGR0011,P00242,Ambient,22685,141629,50128,35.39,62,38,88,16.13,47,343,Night,Active,2025-02-13,82.08,13,No,2025-02-12
DC0014,Distribution Center 14,Regional DC,West,Ahmedabad,India,MGR0083,P00214,Ambient,22857,126803,51185,40.37,30,21,213,11.99,28,92,Morning,Active,2025-02-13,79.77,11,No,2025-02-08
DC0015,Distribution Center 15,Cold Storage DC,Central,Indore,India,MGR0051,P00127,Ambient,5906,28221,26798,94.96,22,2,339,8.15,20,208,Night,Maintenance,2025-02-13,90.58,6,No,2025-01-26
DC0020,Distribution Center 20,Cross-Dock Center,Central,Raipur,India,MGR0067,P00230,Ambient,11234,129774,55641,42.88,53,1,452,14.79,14,470,Evening,Active,2025-02-13,87.97,7,No,2025-01-23
DC0022,Distribution Center 22,Cross-Dock Center,South,Chennai,India,MGR0006,P00112,Hazardous,1050,55161,20430,37.04,49,75,388,16.69,40,313,Evening,Active,2025-02-13,80.3,11,No,2025-01-28
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0059,P00157,Ambient,8370,37917,17519,46.2,9,5,47,2.05,26,252,Night,Active,2025-02-13,77.71,34,No,2025-02-04
DC0003,Distribution Center 03,Regional DC,East,Kolkata,India,MGR0081,P00078,Ambient,17075,88240,63201,71.62,75,65,173,14.03,41,358,Evening,Active,2025-02-14,96.66,35,No,2025-01-24
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0067,P00008,Ambient,19926,66917,36897,55.14,50,2,264,15.45,9,291,Morning,Active,2025-02-14,73.28,18,No,2025-02-03
DC0005,Distribution Center 05,Cross-Dock Center,Central,Bhopal,India,MGR0081,P00131,Ambient,9709,29602,18804,63.52,28,69,305,17.34,12,458,Morning,Active,2025-02-14,78.0,16,No,2025-02-05
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0021,P00050,Ambient,10339,50313,39184,77.88,18,97,468,2.86,46,152,Night,Maintenance,2025-02-14,84.96,36,No,2025-01-21
DC0009,Distribution Center 09,Cold Storage DC,West,Pune,India,MGR0041,P00203,Ambient,1548,77691,25824,33.24,27,18,407,18.72,27,405,Night,Active,2025-02-14,78.23,30,No,2025-01-15
DC0018,Distribution Center 18,Fulfillment Center,East,Patna,India,MGR0050,P00137,Ambient,17058,73777,20638,27.97,49,18,247,16.41,31,339,Night,Active,2025-02-14,90.18,16,No,2025-01-23
DC0019,Distribution Center 19,Regional DC,West,Surat,India,MGR0043,P00093,Ambient,18707,112300,72839,64.86,59,4,35,2.16,13,420,Night,Maintenance,2025-02-14,94.94,9,No,2025-02-13
DC0022,Distribution Center 22,Cold Storage DC,South,Chennai,India,MGR0052,P00191,Ambient,18359,115837,64424,55.62,78,80,165,17.04,42,46,Morning,Temporarily Closed,2025-02-14,99.87,41,No,2025-02-13
DC0028,Distribution Center 28,Regional DC,East,Bhubaneswar,India,MGR0095,P00228,Ambient,17955,69754,28956,41.51,57,92,306,1.99,25,402,Night,Active,2025-02-14,99.42,28,No,2025-01-15
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0021,P00128,Ambient,19005,123966,64786,52.26,24,43,279,14.51,28,190,Night,Active,2025-02-15,91.63,16,No,2025-01-16
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0048,P00132,Ambient,4780,110037,64114,58.27,55,3,141,7.05,25,403,Evening,Temporarily Closed,2025-02-15,82.69,11,No,2025-01-26
DC0005,Distribution Center 05,Cross-Dock Center,Central,Bhopal,India,MGR0004,P00193,Ambient,5666,86670,64712,74.66,21,75,347,17.07,37,265,Night,Active,2025-02-15,82.84,2,No,2025-02-13
DC0006,Distribution Center 06,Fulfillment Center,North,Chandigarh,India,MGR0072,P00096,Frozen,17062,118199,47662,40.32,78,49,290,4.42,17,350,Evening,Active,2025-02-15,88.66,49,No,2025-01-29
DC0030,Distribution Center 30,Regional DC,Central,Nagpur,India,MGR0056,P00066,Ambient,12286,46900,27354,58.32,15,72,5,23.88,39,317,Morning,Temporarily Closed,2025-02-15,72.95,36,No,2025-02-15
DC0003,Distribution Center 03,Cross-Dock Center,East,Kolkata,India,MGR0032,P00133,Ambient,7669,40243,16626,41.31,1,82,283,18.48,21,490,Morning,Active,2025-02-16,94.97,45,No,2025-01-31
DC0012,Distribution Center 12,Fulfillment Center,South,Hyderabad,India,MGR0029,P00136,Ambient,23379,112322,91032,81.05,15,56,110,13.98,11,425,Evening,Active,2025-02-16,76.45,22,No,2025-02-02
DC0015,Distribution Center 15,Regional DC,Central,Indore,India,MGR0063,P00232,Cold,15045,61127,37896,62.0,13,31,92,7.35,32,325,Evening,Active,2025-02-16,77.51,5,No,2025-02-09
DC0016,Distribution Center 16,Regional DC,North,Lucknow,India,MGR0055,P00057,Hazardous,4413,109069,31552,28.93,16,28,187,4.07,43,59,Night,Temporarily Closed,2025-02-16,95.05,37,No,2025-02-01
DC0022,Distribution Center 22,Regional DC,South,Chennai,India,MGR0100,P00064,Frozen,8220,88641,50779,57.29,43,13,61,9.85,14,233,Morning,Active,2025-02-16,75.6,20,No,2025-02-05
DC0026,Distribution Center 26,Cross-Dock Center,North,Chandigarh,India,MGR0064,P00101,Cold,1201,36834,29691,80.61,37,92,463,17.33,15,156,Night,Active,2025-02-16,95.52,29,No,2025-01-30
DC0026,Distribution Center 26,Cross-Dock Center,North,Chandigarh,India,MGR0033,P00153,Ambient,22967,143667,109833,76.45,57,14,427,20.93,31,429,Evening,Active,2025-02-16,90.35,40,No,2025-02-11
DC0026,Distribution Center 26,Cross-Dock Center,North,Chandigarh,India,MGR0030,P00210,Ambient,5467,29204,19517,66.83,2,57,158,1.8,48,285,Morning,Active,2025-02-16,85.98,22,No,2025-02-11
DC0029,Distribution Center 29,Regional DC,West,Pune,India,MGR0019,P00092,Frozen,4222,82846,40028,48.32,65,10,207,11.64,7,390,Night,Temporarily Closed,2025-02-16,98.0,26,No,2025-02-02
DC0002,Distribution Center 02,Regional DC,South,Chennai,India,MGR0063,P00041,Ambient,11191,29749,9935,33.4,17,48,257,7.13,4,98,Night,Active,2025-02-17,92.1,17,No,2025-02-01
DC0013,Distribution Center 13,Regional DC,East,Guwahati,India,MGR0029,P00114,Ambient,6624,99769,61180,61.32,21,89,469,2.98,28,346,Morning,Active,2025-02-17,97.5,43,No,2025-01-29
DC0016,Distribution Center 16,Cold Storage DC,North,Lucknow,India,MGR0022,P00031,Hazardous,21086,47380,15873,33.5,54,64,314,17.13,38,246,Morning,Temporarily Closed,2025-02-17,98.13,9,No,2025-02-13
DC0017,Distribution Center 17,Regional DC,South,Kochi,India,MGR0073,P00227,Frozen,16703,119504,84409,70.63,42,9,129,3.21,21,246,Evening,Maintenance,2025-02-17,79.61,10,No,2025-02-02
DC0020,Distribution Center 20,Regional DC,Central,Raipur,India,MGR0089,P00014,Cold,16452,60240,16938,28.12,78,10,302,5.19,45,484,Morning,Temporarily Closed,2025-02-17,94.63,48,No,2025-02-16
DC0023,Distribution Center 23,Fulfillment Center,East,Kolkata,India,MGR0068,P00090,Ambient,10125,105650,64194,60.76,14,41,121,9.1,46,115,Night,Maintenance,2025-02-17,74.86,9,No,2025-01-18
DC0002,Distribution Center 02,Regional DC,South,Chennai,India,MGR0017,P00241,Cold,8216,45329,26952,59.46,73,85,325,10.1,22,104,Morning,Maintenance,2025-02-18,73.69,8,No,2025-02-16
DC0003,Distribution Center 03,Regional DC,East,Kolkata,India,MGR0016,P00196,Frozen,5109,23684,19030,80.35,15,16,72,15.75,16,454,Night,Temporarily Closed,2025-02-18,91.21,12,No,2025-02-06
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0020,P00062,Ambient,23398,61687,27443,44.49,43,83,277,10.42,24,314,Morning,Maintenance,2025-02-18,84.22,33,No,2025-02-17
DC0004,Distribution Center 04,Fulfillment Center,West,Mumbai,India,MGR0049,P00155,Ambient,16298,48094,17581,36.56,9,4,42,17.47,42,83,Evening,Temporarily Closed,2025-02-18,75.93,45,No,2025-02-17
DC0007,Distribution Center 07,Fulfillment Center,South,Bengaluru,India,MGR0002,P00112,Ambient,18778,115956,71302,61.49,54,66,471,4.12,14,468,Evening,Active,2025-02-18,72.95,49,No,2025-02-08
DC0013,Distribution Center 13,Cold Storage DC,East,Guwahati,India,MGR0031,P00133,Hazardous,20225,44266,42227,95.39,7,39,441,11.63,20,273,Morning,Active,2025-02-18,80.4,16,No,2025-02-02
DC0024,Distribution Center 24,Fulfillment Center,West,Mumbai,India,MGR0075,P00178,Cold,16371,80463,48690,60.51,10,24,127,13.24,26,98,Morning,Active,2025-02-18,97.0,39,No,2025-02-09
DC0027,Distribution Center 27,Fulfillment Center,South,Bengaluru,India,MGR0016,P00140,Cold,7374,74621,19322,25.89,48,57,41,11.5,9,386,Night,Temporarily Closed,2025-02-18,82.23,14,No,2025-02-06
DC0030,Distribution Center 30,Regional DC,Central,Nagpur,India,MGR0048,P00114,Ambient,15480,41532,33993,81.85,43,31,104,21.4,38,456,Morning,Temporarily Closed,2025-02-18,86.15,31,No,2025-01-29
DC0006,Distribution Center 06,Cold Storage DC,North,Chandigarh,India,MGR0057,P00063,Ambient,2465,113765,42587,37.43,35,18,7,18.93,33,263,Evening,Active,2025-02-19,78.09,25,No,2025-01-21
DC0006,Distribution Center 06,Cold Storage DC,North,Chandigarh,India,MGR0058,P00160,Ambient,12356,56042,45045,80.38,7,86,237,18.46,29,158,Evening,Active,2025-02-19,81.54,20,No,2025-01-22
DC0020,Distribution Center 20,Fulfillment Center,Central,Raipur,India,MGR0098,P00041,Ambient,17665,141913,124760,87.91,52,60,431,23.3,20,317,Night,Active,2025-02-19,92.53,47,No,2025-02-16
DC0022,Distribution Center 22,Regional DC,South,Chennai,India,MGR0016,P00042,Cold,22977,97314,32051,32.94,27,46,59,5.96,12,285,Evening,Maintenance,2025-02-19,85.73,34,No,2025-02-06
DC0022,Distribution Center 22,Cross-Dock Center,South,Chennai,India,MGR0047,P00174,Ambient,24038,45336,23224,51.23,36,5,128,9.97,21,383,Morning,Active,2025-02-19,90.42,16,No,2025-02-02
DC0024,Distribution Center 24,Regional DC,West,Mumbai,India,MGR0051,P00103,Hazardous,10424,87842,22395,25.49,36,48,350,13.88,46,294,Night,Active,2025-02-19,80.36,49,No,2025-02-18
DC0029,Distribution Center 29,Cold Storage DC,West,Pune,India,MGR0058,P00162,Ambient,17817,142378,109162,76.67,13,2,338,12.07,49,311,Night,Active,2025-02-19,78.54,10,No,2025-02-08
DC0006,Distribution Center 06,Regional DC,North,Chandigarh,India,MGR0095,P00168,Ambient,13105,83316,76408,91.71,75,55,181,10.38,43,316,Night,Maintenance,2025-02-20,78.41,36,No,2025-02-07
DC0007,Distribution Center 07,Fulfillment Center,South,Bengaluru,India,MGR0095,P00009,Ambient,22717,92536,77301,83.54,56,18,311,20.82,4,181,Night,Temporarily Closed,2025-02-20,89.1,6,No,2025-02-19
DC0008,Distribution Center 08,Cross-Dock Center,East,Bhubaneswar,India,MGR0030,P00178,Ambient,17765,20860,6742,32.32,7,18,401,19.6,12,119,Morning,Active,2025-02-20,94.07,39,No,2025-01-30
DC0012,Distribution Center 12,Regional DC,South,Hyderabad,India,MGR0096,P00142,Cold,24698,51042,36987,72.46,71,48,497,5.06,5,460,Morning,Active,2025-02-20,79.44,15,No,2025-01-25
DC0014,Distribution Center 14,Fulfillment Center,West,Ahmedabad,India,MGR0037,P00171,Cold,21085,21856,17056,78.04,52,15,495,22.61,28,140,Night,Active,2025-02-20,80.61,35,No,2025-02-03
DC0020,Distribution Center 20,Fulfillment Center,Central,Raipur,India,MGR0039,P00092,Ambient,20407,120152,76670,63.81,35,4,361,6.39,16,310,Morning,Active,2025-02-20,95.1,3,No,2025-01-28
DC0028,Distribution Center 28,Cross-Dock Center,East,Bhubaneswar,India,MGR0001,P00095,Ambient,6303,84918,24370,28.7,66,7,459,2.68,36,401,Night,Active,2025-02-20,84.27,41,No,2025-02-02
DC0029,Distribution Center 29,Cold Storage DC,West,Pune,India,MGR0077,P00120,Ambient,16845,33780,31372,92.87,62,67,458,23.7,9,147,Night,Temporarily Closed,2025-02-20,88.95,35,No,2025-01-21
DC0006,Distribution Center 06,Regional DC,North,Chandigarh,India,MGR0088,P00078,Ambient,8492,126565,53808,42.51,53,18,257,15.57,40,50,Evening,Maintenance,2025-02-21,91.84,31,No,2025-02-01
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0056,P00213,Hazardous,4399,50570,25172,49.78,36,47,83,7.31,36,161,Morning,Active,2025-02-21,81.61,44,No,2025-02-17
DC0012,Distribution Center 12,Cold Storage DC,South,Hyderabad,India,MGR0020,P00158,Ambient,4788,86002,65492,76.15,67,99,62,22.03,44,319,Night,Active,2025-02-21,76.37,47,No,2025-02-04
DC0022,Distribution Center 22,Fulfillment Center,South,Chennai,India,MGR0064,P00029,Ambient,8869,74039,67851,91.64,29,42,234,20.14,10,171,Night,Active,2025-02-21,81.85,49,No,2025-02-02
DC0023,Distribution Center 23,Fulfillment Center,East,Kolkata,India,MGR0056,P00174,Ambient,3091,31392,19658,62.62,14,76,61,10.06,39,163,Morning,Temporarily Closed,2025-02-21,86.33,30,No,2025-01-28
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0082,P00243,Ambient,8571,109753,81410,74.18,7,32,154,18.45,45,185,Morning,Active,2025-02-21,74.2,33,No,2025-01-30
DC0029,Distribution Center 29,Regional DC,West,Pune,India,MGR0094,P00183,Ambient,17159,144001,108311,75.22,62,7,102,22.47,15,377,Night,Maintenance,2025-02-21,73.97,45,No,2025-02-05
DC0001,Distribution Center 01,Regional DC,North,Delhi,India,MGR0027,P00195,Cold,8434,45714,38451,84.11,44,36,50,3.3,31,443,Evening,Maintenance,2025-02-22,83.47,0,No,2025-02-21
DC0004,Distribution Center 04,Regional DC,West,Mumbai,India,MGR0028,P00047,Ambient,16600,38070,17724,46.56,11,19,201,2.58,42,92,Night,Active,2025-02-22,98.99,8,No,2025-01-24
DC0007,Distribution Center 07,Cold Storage DC,South,Bengaluru,India,MGR0013,P00216,Cold,21171,56161,25360,45.16,73,95,228,12.14,48,177,Evening,Temporarily Closed,2025-02-22,98.86,28,No,2025-02-21
DC0010,Distribution Center 10,Cross-Dock Center,Central,Nagpur,India,MGR0040,P00233,Ambient,2262,114824,92611,80.65,39,26,267,18.9,26,121,Evening,Temporarily Closed,2025-02-22,76.83,13,No,2025-02-12
DC0013,Distribution Center 13,Fulfillment Center,East,Guwahati,India,MGR0053,P00101,Ambient,8536,99478,26850,26.99,41,98,451,16.48,8,84,Morning,Active,2025-02-22,79.46,27,No,2025-02-10
DC0013,Distribution Center 13,Cold Storage DC,East,Guwahati,India,MGR0045,P00146,Ambient,4859,51789,37271,71.97,3,76,177,11.31,15,316,Night,Temporarily Closed,2025-02-22,76.67,5,No,2025-01-29
DC0014,Distribution Center 14,Fulfillment Center,West,Ahmedabad,India,MGR0031,P00043,Cold,16712,20546,11170,54.37,23,58,135,12.27,15,360,Morning,Maintenance,2025-02-22,99.65,40,No,2025-02-21
DC0016,Distribution Center 16,Regional DC,North,Lucknow,India,MGR0038,P00049,Ambient,18959,103565,54982,53.09,2,68,267,14.17,26,138,Evening,Maintenance,2025-02-22,74.73,19,No,2025-01-27
DC0017,Distribution Center 17,Fulfillment Center,South,Kochi,India,MGR0020,P00056,Ambient,23841,93193,73815,79.21,37,96,157,23.08,4,276,Evening,Active,2025-02-22,93.94,34,No,2025-02-10
DC0021,Distribution Center 21,Cold Storage DC,North,Delhi,India,MGR0060,P00212,Frozen,2483,90582,43106,47.59,30,49,479,16.29,19,210,Night,Active,2025-02-22,84.64,45,No,2025-02-15
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0100,P00113,Ambient,18470,23953,16591,69.26,72,66,96,16.15,11,446,Morning,Active,2025-02-22,78.42,31,No,2025-01-26
DC0026,Distribution Center 26,Regional DC,North,Chandigarh,India,MGR0097,P00057,Cold,13640,148262,122049,82.32,7,46,93,7.03,49,22,Morning,Active,2025-02-22,91.32,48,No,2025-01-26
DC0027,Distribution Center 27,Cross-Dock Center,South,Bengaluru,India,MGR0026,P00179,Hazardous,14266,61171,22290,36.44,63,96,456,13.68,31,324,Night,Active,2025-02-22,99.17,18,No,2025-02-15
DC0001,Distribution Center 01,Regional DC,North,Delhi,India,MGR0057,P00015,Hazardous,475,130025,85092,65.44,75,40,203,19.29,7,181,Evening,Temporarily Closed,2025-02-23,74.56,23,Yes,2025-02-23
DC0001,Distribution Center 01,Cold Storage DC,North,Delhi,India,MGR0079,P00049,Frozen,707,101346,70757,69.82,40,67,81,18.95,41,244,Night,Active,2025-02-23,89.38,41,No,2025-02-14
DC0003,Distribution Center 03,Cross-Dock Center,East,Kolkata,India,MGR0068,P00151,Ambient,22385,87271,46785,53.61,64,29,332,22.56,20,315,Morning,Temporarily Closed,2025-02-23,93.16,40,No,2025-01-30
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0079,P00217,Ambient,4467,37237,35401,95.07,52,97,313,14.25,45,431,Morning,Maintenance,2025-02-23,76.56,0,No,2025-02-20
DC0011,Distribution Center 11,Cold Storage DC,North,Jaipur,India,MGR0052,P00117,Ambient,16037,78970,60486,76.59,6,61,122,22.27,20,115,Morning,Active,2025-02-23,84.34,17,No,2025-01-29
DC0012,Distribution Center 12,Cold Storage DC,South,Hyderabad,India,MGR0048,P00095,Cold,15345,92488,58800,63.58,2,95,297,12.36,10,292,Night,Maintenance,2025-02-23,79.55,11,No,2025-02-01
DC0019,Distribution Center 19,Cross-Dock Center,West,Surat,India,MGR0065,P00055,Cold,5636,38223,34453,90.14,71,21,260,1.93,5,36,Evening,Maintenance,2025-02-23,79.82,37,No,2025-02-17
DC0022,Distribution Center 22,Cross-Dock Center,South,Chennai,India,MGR0097,P00226,Ambient,18353,101465,42353,41.74,12,51,409,13.3,45,31,Morning,Active,2025-02-23,91.8,6,No,2025-02-09
DC0001,Distribution Center 01,Fulfillment Center,North,Delhi,India,MGR0078,P00130,Hazardous,1743,80515,69488,86.3,71,29,375,12.07,25,434,Morning,Active,2025-02-24,73.62,42,No,2025-01-25
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0039,P00056,Cold,22495,123016,110157,89.55,12,77,487,3.33,44,381,Evening,Temporarily Closed,2025-02-24,76.65,20,No,2025-02-14
DC0011,Distribution Center 11,Regional DC,North,Jaipur,India,MGR0053,P00088,Ambient,9016,46956,30488,64.93,63,99,299,13.55,19,137,Night,Active,2025-02-24,80.17,18,No,2025-02-19
DC0020,Distribution Center 20,Cold Storage DC,Central,Raipur,India,MGR0026,P00150,Ambient,15145,36122,34758,96.22,52,58,444,13.36,45,278,Evening,Active,2025-02-24,86.05,22,No,2025-02-13
DC0023,Distribution Center 23,Fulfillment Center,East,Kolkata,India,MGR0082,P00058,Cold,9630,33879,32610,96.25,3,88,285,15.25,19,429,Night,Active,2025-02-24,95.89,2,No,2025-01-27
DC0025,Distribution Center 25,Cross-Dock Center,Central,Bhopal,India,MGR0053,P00194,Ambient,19711,148303,86392,58.25,22,85,3,3.47,4,291,Night,Maintenance,2025-02-24,90.7,28,No,2025-02-11
DC0026,Distribution Center 26,Fulfillment Center,North,Chandigarh,India,MGR0061,P00231,Ambient,11791,143565,117010,81.5,26,3,99,23.44,35,476,Morning,Active,2025-02-24,85.5,45,No,2025-02-12
DC0029,Distribution Center 29,Cross-Dock Center,West,Pune,India,MGR0028,P00082,Hazardous,15396,45314,42152,93.02,41,35,430,2.64,28,297,Evening,Maintenance,2025-02-24,86.73,23,No,2025-01-25
DC0010,Distribution Center 10,Cold Storage DC,Central,Nagpur,India,MGR0057,P00151,Frozen,653,33067,15661,47.36,9,50,405,19.93,41,390,Evening,Active,2025-02-25,95.96,32,No,2025-02-07
DC0014,Distribution Center 14,Cold Storage DC,West,Ahmedabad,India,MGR0079,P00063,Ambient,10270,23878,9698,40.61,22,55,268,18.13,7,280,Evening,Active,2025-02-25,83.63,45,No,2025-02-15
DC0018,Distribution Center 18,Cross-Dock Center,East,Patna,India,MGR0017,P00145,Frozen,8746,126316,41940,33.2,13,25,80,22.41,16,235,Evening,Active,2025-02-25,85.52,6,No,2025-02-01
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0047,P00041,Hazardous,16076,36178,18091,50.01,50,28,89,10.4,38,204,Night,Temporarily Closed,2025-02-25,94.16,13,No,2025-02-01
DC0025,Distribution Center 25,Cold Storage DC,Central,Bhopal,India,MGR0073,P00196,Frozen,12351,56469,37764,66.88,77,57,194,9.21,48,76,Morning,Temporarily Closed,2025-02-25,96.19,47,No,2025-02-01
DC0001,Distribution Center 01,Cold Storage DC,North,Delhi,India,MGR0084,P00048,Ambient,7908,111157,84058,75.62,52,64,12,20.81,32,467,Night,Active,2025-02-26,79.71,24,No,2025-02-02
DC0008,Distribution Center 08,Regional DC,East,Bhubaneswar,India,MGR0048,P00042,Ambient,14961,95682,62257,65.07,35,9,390,18.77,45,378,Evening,Active,2025-02-26,91.01,2,No,2025-02-26
DC0009,Distribution Center 09,Cross-Dock Center,West,Pune,India,MGR0075,P00110,Hazardous,23957,99857,88292,88.42,41,34,3,17.99,42,245,Evening,Temporarily Closed,2025-02-26,91.48,37,No,2025-01-29
DC0013,Distribution Center 13,Cold Storage DC,East,Guwahati,India,MGR0076,P00118,Ambient,788,112721,101291,89.86,9,26,386,8.45,38,307,Evening,Active,2025-02-26,74.66,45,No,2025-02-03
DC0014,Distribution Center 14,Fulfillment Center,West,Ahmedabad,India,MGR0034,P00067,Ambient,24527,89722,53524,59.66,22,37,36,11.32,10,107,Morning,Active,2025-02-26,75.9,26,No,2025-02-22
DC0016,Distribution Center 16,Cross-Dock Center,North,Lucknow,India,MGR0080,P00083,Frozen,7948,64366,40240,62.52,15,18,248,20.55,28,92,Evening,Maintenance,2025-02-26,89.68,32,No,2025-02-17
DC0024,Distribution Center 24,Cold Storage DC,West,Mumbai,India,MGR0066,P00035,Frozen,19114,27447,7813,28.47,41,52,119,3.42,19,163,Night,Active,2025-02-26,72.9,25,No,2025-02-14
DC0001,Distribution Center 01,Fulfillment Center,North,Delhi,India,MGR0029,P00143,Ambient,117,118579,93263,78.65,54,31,208,3.92,42,204,Night,Maintenance,2025-02-27,86.22,24,Yes,2025-02-11
DC0004,Distribution Center 04,Cold Storage DC,West,Mumbai,India,MGR0030,P00013,Ambient,13004,85413,66974,78.41,7,78,103,18.31,24,292,Evening,Active,2025-02-27,98.58,42,No,2025-02-25
DC0004,Distribution Center 04,Cross-Dock Center,West,Mumbai,India,MGR0091,P00088,Ambient,20517,87062,65818,75.6,18,34,151,3.82,22,487,Evening,Active,2025-02-27,93.9,32,No,2025-02-09
DC0008,Distribution Center 08,Cross-Dock Center,East,Bhubaneswar,India,MGR0055,P00071,Cold,24463,124741,49442,39.64,20,88,175,21.12,21,376,Night,Active,2025-02-27,80.51,3,No,2025-02-19
DC0010,Distribution Center 10,Fulfillment Center,Central,Nagpur,India,MGR0050,P00047,Ambient,5737,32057,23497,73.3,36,24,122,15.46,31,341,Evening,Active,2025-02-27,90.66,16,No,2025-02-23
DC0014,Distribution Center 14,Cross-Dock Center,West,Ahmedabad,India,MGR0080,P00004,Ambient,15615,28418,26970,94.9,38,11,365,9.05,30,46,Evening,Temporarily Closed,2025-02-27,82.32,17,No,2025-02-27
DC0018,Distribution Center 18,Regional DC,East,Patna,India,MGR0088,P00075,Ambient,3749,66048,21826,33.05,79,11,290,18.31,22,194,Morning,Maintenance,2025-02-27,78.92,40,No,2025-02-23
DC0021,Distribution Center 21,Fulfillment Center,North,Delhi,India,MGR0077,P00018,Hazardous,20753,46598,13299,28.54,77,45,314,8.39,47,352,Night,Maintenance,2025-02-27,85.79,15,No,2025-02-01
DC0021,Distribution Center 21,Regional DC,North,Delhi,India,MGR0019,P00215,Cold,3696,135138,125322,92.74,23,64,26,21.66,35,116,Evening,Active,2025-02-27,79.0,26,No,2025-02-24
DC0023,Distribution Center 23,Cold Storage DC,East,Kolkata,India,MGR0028,P00001,Ambient,5701,142246,56014,39.38,63,58,134,7.54,45,233,Morning,Active,2025-02-27,88.32,26,No,2025-02-06
DC0029,Distribution Center 29,Fulfillment Center,West,Pune,India,MGR0034,P00024,Hazardous,19417,134506,71178,52.92,38,65,154,10.32,14,186,Night,Active,2025-02-27,79.99,23,No,2025-01-29
DC0029,Distribution Center 29,Regional DC,West,Pune,India,MGR0038,P00038,Ambient,11347,112251,37363,33.29,0,84,364,3.93,34,335,Evening,Temporarily Closed,2025-02-27,92.33,25,No,2025-02-24
DC0008,Distribution Center 08,Fulfillment Center,East,Bhubaneswar,India,MGR0046,P00112,Ambient,24359,53122,40868,76.93,74,38,473,12.58,27,415,Night,Active,2025-02-28,78.86,18,No,2025-02-26
DC0010,Distribution Center 10,Regional DC,Central,Nagpur,India,MGR0020,P00086,Ambient,22664,70817,26018,36.74,61,65,11,16.47,8,75,Evening,Active,2025-02-28,74.31,1,No,2025-02-11
DC0013,Distribution Center 13,Fulfillment Center,East,Guwahati,India,MGR0021,P00239,Ambient,8295,20107,12681,63.07,46,70,469,12.83,32,195,Night,Active,2025-02-28,89.35,11,No,2025-02-24
DC0016,Distribution Center 16,Regional DC,North,Lucknow,India,MGR0083,P00153,Ambient,21547,106471,63601,59.74,67,72,107,16.72,17,329,Morning,Active,2025-02-28,98.35,28,No,2025-01-30
DC0017,Distribution Center 17,Regional DC,South,Kochi,India,MGR0081,P00134,Ambient,11407,117075,66828,57.08,17,6,320,20.82,4,300,Night,Active,2025-02-28,97.66,18,No,2025-02-07
DC0019,Distribution Center 19,Regional DC,West,Surat,India,MGR0054,P00188,Ambient,21972,124900,99237,79.45,20,84,230,12.56,11,277,Evening,Active,2025-02-28,88.71,47,No,2025-02-01
DC0021,Distribution Center 21,Fulfillment Center,North,Delhi,India,MGR0012,P00173,Ambient,23563,122688,44510,36.28,40,92,43,17.46,10,451,Night,Active,2025-02-28,73.81,21,No,2025-02-26
DC0025,Distribution Center 25,Regional DC,Central,Bhopal,India,MGR0035,P00051,Ambient,19682,137144,79666,58.09,48,52,414,19.61,13,401,Morning,Active,2025-02-28,88.64,9,No,2025-02-28
DC0006,Distribution Center 06,Cold Storage DC,North,Chandigarh,India,MGR0098,P00164,Cold,6561,76071,48800,64.15,41,49,384,3.97,22,85,Night,Maintenance,2025-03-01,96.75,22,No,2025-02-09
